@relation '212785L1-weka.filters.unsupervised.attribute.RenameNominalValues-R1-Nsplacona_cz:dobry, splacona:dobry-weka.filters.unsupervised.attribute.RenameNominalValues-R1-Nwindykacja:zly-weka.filters.unsupervised.attribute.RenameNominalValues-R1-Nodmowa:zly-weka.filters.unsupervised.attribute.RenameNominalValues-R1-Nwindykacja_sp:zly-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C1-L2,4,5-M-H-weka.filters.unsupervised.attribute.Remove-Rlast-weka.filters.unsupervised.attribute.Reorder-R2-last,1-weka.filters.unsupervised.attribute.Discretize-B5-M-1.0-R2-weka.filters.supervised.attribute.Discretize-R1,4,5,6,7,8-precision6-weka.filters.unsupervised.attribute.Remove-V-R1,6,4,7-8,2-3,9'

@attribute 'kwota kredytu' {'\'(-inf-100]\'','\'(100-inf)\''}
@attribute 'ktore rolowanie' {'\'(-inf-0.5]\'','\'(0.5-inf)\''}
@attribute 'rodzaj zrodla dochodu' {'\'(-inf-98.5]\'','\'(98.5-inf)\''}
@attribute 'okres w jakim pobieral dochod' {'\'(-inf-28.5]\'','\'(28.5-inf)\''}
@attribute 'okres w jakim bedzie pobieral dochod' {'\'(-inf-32.5]\'','\'(32.5-inf)\''}
@attribute wiek {'\'(-inf-31.4]\'','\'(31.4-43.8]\'','\'(43.8-56.2]\'','\'(56.2-68.6]\'','\'(68.6-inf)\''}
@attribute plec {M,K}
@attribute 'status pozyczki' {dobry,zly}

@data
'\'(100-inf)\'','\'(-inf-0.5]\'','\'(-inf-98.5]\'','\'(28.5-inf)\'','\'(32.5-inf)\'','\'(56.2-68.6]\'',M,dobry
'\'(100-inf)\'','\'(-inf-0.5]\'','\'(-inf-98.5]\'','\'(28.5-inf)\'','\'(32.5-inf)\'','\'(56.2-68.6]\'',K,dobry
'\'(100-inf)\'','\'(-inf-0.5]\'','\'(-inf-98.5]\'','\'(-inf-28.5]\'','\'(32.5-inf)\'','\'(68.6-inf)\'',M,zly
'\'(100-inf)\'','\'(-inf-0.5]\'','\'(-inf-98.5]\'','\'(28.5-inf)\'','\'(32.5-inf)\'','\'(43.8-56.2]\'',M,dobry
'\'(100-inf)\'','\'(0.5-inf)\'','\'(-inf-98.5]\'','\'(28.5-inf)\'','\'(32.5-inf)\'','\'(43.8-56.2]\'',K,dobry
'\'(100-inf)\'','\'(0.5-inf)\'','\'(-inf-98.5]\'','\'(28.5-inf)\'','\'(32.5-inf)\'','\'(43.8-56.2]\'',M,dobry
'\'(100-inf)\'','\'(0.5-inf)\'','\'(-inf-98.5]\'','\'(28.5-inf)\'','\'(32.5-inf)\'','\'(68.6-inf)\'',K,dobry
'\'(100-inf)\'','\'(0.5-inf)\'','\'(-inf-98.5]\'','\'(28.5-inf)\'','\'(-inf-32.5]\'','\'(31.4-43.8]\'',M,zly
'\'(100-inf)\'','\'(0.5-inf)\'','\'(-inf-98.5]\'','\'(28.5-inf)\'','\'(32.5-inf)\'','\'(43.8-56.2]\'',K,dobry
'\'(100-inf)\'','\'(0.5-inf)\'','\'(-inf-98.5]\'','\'(28.5-inf)\'','\'(32.5-inf)\'','\'(56.2-68.6]\'',K,dobry
