@relation 212785L1-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C1-L4-weka.filters.unsupervised.instance.RemoveWithValues-S900.01-C2-Lfirst-last-V-weka.filters.unsupervised.attribute.Remove-R1

@attribute 'kwota kredytu' numeric
@attribute wiek numeric
@attribute plec {M,K}
@attribute 'rodzaj zrodla dochodu' numeric
@attribute 'miesieczny dochod netto' numeric
@attribute 'ktore rolowanie' numeric
@attribute 'okres w jakim pobieral dochod' numeric
@attribute 'okres w jakim bedzie pobieral dochod' numeric
@attribute 'opoznienie splaty' numeric

@data
400,64,M,13,3900,0,37,48,0
200,60,K,13,1000,0,60,48,9
200,73,M,13,1700,0,17,48,1885
450,47,M,11,2300,0,123,48,0
299.15,53,K,11,1400,4,164,48,0
200,54,M,11,2094.17,4,244,48,1
300,80,K,13,1167.94,3,372,48,0
500,50,K,11,1800,8,56,48,1
770.69,64,K,13,860,2,83,48,3
200,66,M,13,1611,0,144,48,0
500,37,M,12,2000,0,71,48,0
200,55,K,11,1400,8,120,48,0
200,57,K,98,980,7,13,48,0
500,37,M,11,3898,3,184,48,5
300,55,K,12,1756,0,2,0,0
400,63,K,13,1650,0,85,48,0
500,37,M,11,2800,0,158,48,2
300,71,K,13,1389,0,71,48,0
423.23,32,M,11,2700,7,18,48,9
200,66,K,13,974,0,204,48,0
400,46,M,11,2600,0,5,48,0
300,23,K,12,1500,7,18,10,0
500,54,M,11,2080,2,321,48,2
200,54,K,16,749.28,8,68,48,0
249.3,58,K,16,2100,3,42,48,4
500,52,M,13,4200,0,60,48,0
500,30,K,12,1447,8,35,10,1
300,47,M,11,1566.82,0,352,48,8
396.89,63,K,13,3700,8,30,48,0
200,76,K,13,965,7,248,48,0
200,75,K,13,1536,3,39,48,0
300,72,M,13,1426,8,80,48,0
300,31,M,11,2700,0,67,48,15
700,38,K,11,3178.76,3,124,48,4
700,33,K,11,3100,3,124,48,4
200,52,M,12,1100,0,14,5,1
738.6,56,K,12,1600,1,17,3,19
300,66,K,13,802.83,2,204,48,1
500,26,M,12,1880,0,12,6,1882
300,47,K,98,911,8,101,48,1
390.88,60,K,13,1400,1,49,48,0
300,47,K,12,1038.68,4,26,2,1882
200,58,K,99,780,4,5,0,4
300,64,K,13,1100,5,108,48,0
350,74,K,11,1348.95,0,117,48,0
500,51,K,17,990,4,85,48,1
349.66,65,M,13,1601.87,4,48,48,5
400,66,M,16,1473.04,5,168,48,0
257.27,55,M,11,2100,5,41,48,4
600,64,K,13,1233,1,127,48,0
215.24,51,M,16,1045,7,203,48,3
200,59,K,16,634,7,54,48,0
300,65,K,13,1582.15,0,109,48,0
300,61,M,16,1398,0,397,48,5
600,62,M,16,837,0,235,48,0
400,61,K,13,1500,4,64,48,10
693.16,34,K,11,2200,4,41,48,0
200,41,K,11,2505,2,167,48,0
400,26,K,17,1200,0,179,48,1
200,71,M,13,1642.87,2,73,48,0
600,51,M,16,2150,0,85,48,3
300,63,K,13,714,1,226,48,0
700,59,K,13,1872,8,38,48,0
600,55,K,11,1300,0,71,48,6
500,55,K,12,2200,1,11,4,0
400,59,K,16,1589,1,30,48,4
300,51,M,12,3000,0,131,48,0
300,39,K,16,1300,0,28,48,1880
300,56,K,11,2800,3,13,48,0
200,57,K,11,1187.06,1,137,48,4
500,24,M,11,1800,0,12,48,4
391.97,65,K,13,1507,2,63,48,0
800,56,K,13,3440,8,55,48,0
342.86,61,K,13,1087,2,75,48,98
200,63,M,13,1162,8,224,48,0
380.9,56,K,16,2300,9,66,48,0
200,47,K,12,990.34,1,71,48,226
200,56,M,11,1460.17,0,64,48,4
400,51,K,12,1000,8,37,1,0
400,61,M,12,1000,8,26,10,0
800,69,K,13,2120,3,122,48,0
900,66,M,13,3040,0,205,48,1
200,54,K,12,1200,0,3,1,0
400,67,K,13,1137.19,0,100,48,0
200,26,K,11,1000,0,3,48,1876
300,69,K,13,1027,4,196,48,1
400,61,K,13,1107,2,18,48,0
400,24,M,98,1200,0,20,48,5
200,61,K,13,1635,8,123,48,0
438.67,51,K,11,1577.42,1,209,48,20
624.58,42,K,98,5000,3,88,48,6
500,63,K,13,1900,2,92,48,0
500,44,K,11,1738.57,1,61,48,2
400,63,K,16,2084.79,2,145,48,0
300,36,M,99,750,0,7,6,5
400,69,K,13,1017,1,165,48,0
500,48,K,11,1700,0,93,48,0
500,45,M,12,1952.35,1,11,3,4
200,57,K,99,670,0,175,48,0
300,67,K,16,957,0,204,48,0
278.98,39,K,98,1200,8,49,48,0
200,63,K,13,714,9,226,48,0
883.93,63,M,13,2474,3,19,48,3
300,71,K,13,1000,5,68,48,0
400,71,K,13,1016,1,193,48,0
561.8,66,K,16,892,2,204,48,1
600,43,M,98,3014,0,106,48,0
900,59,K,17,684,8,209,48,0
200,62,K,13,997,8,83,48,0
530,63,K,13,1691.3,4,77,48,10
500,44,M,13,2000,0,21,48,212
500,42,K,11,1870,1,114,48,1873
600,73,K,13,640,2,142,48,0
350,71,K,13,729.03,9,261,48,2
400,34,K,11,2200,0,14,48,0
300,74,K,13,1412,2,208,48,0
400,74,K,13,1140,0,241,48,0
200,32,K,12,1865,5,34,10,0
400,27,K,11,2300,0,26,48,0
600,36,K,11,2400,7,117,48,10
759.23,73,K,13,2534,2,130,48,10
700,62,K,13,2066,8,133,48,2
300,71,M,13,1420,2,56,48,3
300,72,M,13,562,4,85,48,2
315.12,74,M,13,960,8,143,48,2
500,54,M,11,1320,8,346,48,0
600,78,M,13,2609,0,195,48,0
379.9,64,K,13,930,5,97,48,0
750,56,M,16,588,0,426,48,58
265.58,63,K,13,1189,8,73,48,0
200,34,M,11,1800,8,169,48,0
300,38,M,98,1200,0,4,48,1871
500,42,K,11,2824,0,105,48,1
597.15,48,M,12,600,9,27,13,0
500,23,M,12,2100,0,17,15,189
300,36,K,12,1300,0,7,4,0
300,55,K,16,1500,3,5,48,2
300,27,M,12,1100,0,48,40,0
400,59,K,11,1500,7,89,48,2
200,55,K,16,1045.6,9,16,48,0
200,56,M,11,1460.17,5,65,48,0
200,32,K,12,980,8,15,0,1
200,44,M,11,2284.23,3,303,48,0
254.63,58,K,16,634.64,7,140,48,0
200,70,K,16,959.6,8,119,48,0
200,32,M,11,2000,2,9,48,0
299.12,64,K,16,1389,3,95,48,0
200,73,K,13,730,7,564,48,1
400,61,K,16,1411,5,70,48,2
630,64,K,13,3251,2,142,48,0
600,55,K,11,1500,0,114,48,0
400,44,K,11,1400,0,29,48,1
300,36,K,12,1200,8,14,1,0
300,43,K,11,1286.16,1,121,48,0
300,40,K,12,1027,8,59,48,0
500,47,M,99,1400,0,20,0,0
500,58,K,12,1400,0,15,6,7
374.91,55,K,12,1000,2,69,48,0
350,63,K,13,1130,0,107,48,3
267.98,53,K,11,1050,7,37,48,2
200,22,K,12,700,1,5,1,2
300,64,M,12,1231,0,7,4,0
600,63,K,13,3700,0,31,48,0
500,54,K,11,1700,0,209,48,0
200,61,K,13,917,0,81,48,0
247.28,58,K,13,611,7,143,48,2
300,47,K,11,900,8,97,48,6
300,71,K,13,729.03,2,261,48,4
300,54,M,11,1300,0,456,48,0
200,49,M,11,1600,2,346,48,1868
400,43,M,11,2636,0,46,48,0
392.6,55,K,11,2368.57,1,414,48,172
300,50,M,13,3900,9,34,48,4
500,31,M,12,1700,0,119,48,172
293.42,41,K,12,1896,2,18,1,1868
325.58,53,K,11,2065.98,1,183,48,8
202.28,61,M,11,3000,9,216,48,0
205.44,66,K,13,1350,7,115,48,0
350,55,K,12,1700,9,69,48,0
400,37,K,11,1228,0,37,48,1868
550,55,K,12,1675,8,13,0,4
500,25,M,11,2000,0,40,48,0
300,61,K,13,810,9,37,48,0
200,54,K,13,1213,0,53,48,7
600,46,M,12,3500,3,215,48,0
500,48,M,13,864.34,3,160,48,0
400,64,K,13,917,2,80,48,1867
600,36,M,99,2880,0,12,10,1867
237.94,65,K,13,840,6,117,48,4
227.88,66,M,12,1100,8,35,9,0
600,55,K,11,2800,0,63,48,5
500,45,M,11,2000,0,8,48,1867
500,61,K,13,1000,8,72,48,0
500,76,K,13,1248,2,254,48,0
200,58,M,13,12220,0,75,48,4
537.15,63,K,13,962,4,69,48,3
300,34,K,11,1380,0,30,48,0
300,61,K,13,1087.72,0,5,48,0
441.54,36,K,98,4000,8,22,48,4
200,64,M,13,1287.66,7,100,48,10
200,57,K,15,678,0,144,48,0
200,50,K,12,976,0,2,1,0
300,57,K,11,1800,1,115,48,0
500,65,M,11,2600,0,139,48,2
300,60,M,11,2000,3,73,48,4
200,28,M,12,1400,3,5,0,0
300,76,K,13,821.35,0,250,48,0
700,68,K,13,1431,1,251,48,0
400,54,M,11,4000,9,14,48,18
200,62,K,13,975,8,31,48,14
200,32,M,98,2000,0,18,48,0
600,44,K,11,1443,3,37,48,1
400,57,M,11,1842.86,7,11,48,0
300,60,K,13,1098,0,60,48,0
600,63,K,13,714,2,226,48,0
600,40,K,11,1800,1,55,48,9
430,39,M,11,2470,5,70,48,7
450,69,K,13,1019,1,136,48,0
200,58,M,11,1800,2,164,48,0
300,25,M,12,1440,0,23,16,0
300,38,K,12,1382,2,35,10,0
300,62,K,13,992.96,0,16,48,0
600,33,M,11,2200,0,132,48,4
387.11,75,K,13,1373,1,114,48,0
280.88,63,M,13,2000,2,38,48,0
400,45,M,11,3300,2,240,48,0
200,73,K,13,785,5,68,48,0
650,60,M,13,3900,1,118,48,2
311.65,36,K,11,2709.34,9,185,48,0
200,50,M,12,822,0,130,48,0
400,50,K,11,1764,2,68,48,0
300,69,M,13,1689.98,0,85,48,0
500,59,M,16,1770,9,93,48,0
290,62,K,13,1280,9,21,48,0
500,63,K,13,1474.55,1,69,48,21
300,59,K,13,1240,1,74,48,0
500,61,K,13,1800,0,73,48,0
240,57,K,11,1172.2,8,41,48,3
500,39,M,13,1648,0,17,48,1862
643.05,52,K,11,3200,8,58,48,1
585.7,62,K,13,1050,9,143,48,0
700,60,M,11,2800,1,100,48,0
200,78,K,13,1100,0,252,48,5
