@relation '228046_2-weka.filters.unsupervised.attribute.RenameNominalValues-R1-N1:dobry-weka.filters.unsupervised.attribute.RenameNominalValues-R1-N1:dobry-weka.filters.unsupervised.attribute.RenameNominalValues-R1-N1:dobry-weka.filters.unsupervised.attribute.RenameNominalValues-R2-N1:dobry-weka.filters.unsupervised.attribute.RenameNominalValues-R2-N2:dobry-weka.filters.unsupervised.attribute.RenameNominalValues-R1-N1:dobry-weka.filters.unsupervised.attribute.RenameNominalValues-R1-N1:dobry-weka.filters.unsupervised.attribute.RenameNominalValues-Rstatus pozyczki-N1:dobry-weka.filters.unsupervised.attribute.RenameNominalValues-Rstatus pozyczki-N1:dobry-weka.filters.unsupervised.attribute.RenameNominalValues-Rstatus pozyczki-Nstatus pozyczki:dobry-weka.filters.unsupervised.attribute.RenameNominalValues-Rstatus pozyczki-Nstatus pozyczki:dobry-weka.filters.unsupervised.attribute.RenameNominalValues-R1-Nsplacona_cz:dobry,splacona:dobry1-weka.filters.unsupervised.attribute.RenameNominalValues-R1-Nodmowa:zly,windykacja:zly1,windykacja_sp:zly2-weka.filters.unsupervised.attribute.MergeManyValues-C1-Ldobry-R1,2-weka.filters.unsupervised.attribute.MergeManyValues-C1-Lzly-R1-3-weka.filters.unsupervised.attribute.Remove-R10-weka.filters.unsupervised.attribute.Reorder-R2-last,1-weka.filters.unsupervised.attribute.Discretize-B5-M-1.0-R5-precision6'

@attribute 'rodzaj zrodla dochodu' numeric
@attribute 'miesieczny dochod netto' numeric
@attribute 'ktore rolowanie' numeric
@attribute 'kwota kredytu' numeric
@attribute wiek {'\'(-inf-30.4]\'','\'(30.4-42.8]\'','\'(42.8-55.2]\'','\'(55.2-67.6]\'','\'(67.6-inf)\''}
@attribute plec {M,K}
@attribute 'okres w jakim pobieral dochod' numeric
@attribute 'okres w jakim bedzie pobieral dochod' numeric
@attribute 'status pozyczki' {dobry,zly}

@data
13,2098,1,700,'\'(67.6-inf)\'',M,194,48,dobry
13,2291,2,1000,'\'(67.6-inf)\'',K,67,48,dobry
16,837,0,300,'\'(55.2-67.6]\'',M,228,48,dobry
12,1040,0,250,'\'(30.4-42.8]\'',K,0,0,zly
13,730,0,200,'\'(67.6-inf)\'',K,557,48,dobry
12,1100,0,300,'\'(42.8-55.2]\'',K,29,17,zly
11,1700,1,500,'\'(42.8-55.2]\'',K,302,48,dobry
11,2031,1,2000,'\'(55.2-67.6]\'',M,111,48,zly
13,1442.43,2,200,'\'(67.6-inf)\'',K,138,48,dobry
11,1360,2,200,'\'(42.8-55.2]\'',M,116,48,dobry
12,1050,0,300,'\'(42.8-55.2]\'',K,36,5,dobry
16,892,0,500,'\'(55.2-67.6]\'',K,197,48,dobry
12,1500,1,1130.33,'\'(42.8-55.2]\'',K,26,15,dobry
13,850,1,400,'\'(55.2-67.6]\'',K,64,48,dobry
12,2500,0,800,'\'(55.2-67.6]\'',M,3,1,dobry
13,1350,0,300,'\'(55.2-67.6]\'',K,108,48,dobry
11,1900,1,903.23,'\'(30.4-42.8]\'',K,176,48,dobry
11,3200,1,700,'\'(42.8-55.2]\'',M,186,48,dobry
11,2100,0,700,'\'(-inf-30.4]\'',K,19,48,dobry
17,547.89,0,200,'\'(55.2-67.6]\'',K,58,48,dobry
17,443.65,0,600,'\'(-inf-30.4]\'',M,35,25,zly
11,3000,0,700,'\'(42.8-55.2]\'',M,0,48,zly
16,1411,1,400,'\'(55.2-67.6]\'',K,63,48,dobry
12,1800,1,700,'\'(-inf-30.4]\'',M,8,0,dobry
13,1210,0,300,'\'(55.2-67.6]\'',K,135,48,dobry
12,1447,2,500,'\'(-inf-30.4]\'',K,23,5,dobry
11,1515.11,0,300,'\'(30.4-42.8]\'',K,11,48,zly
12,1037.34,0,300,'\'(-inf-30.4]\'',M,23,6,dobry
