@relation 228046_2-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C1-L3-weka.filters.unsupervised.instance.RemoveWithValues-S900.01-C5-Lfirst-last-V-weka.filters.unsupervised.attribute.Remove-R1

@attribute 'rodzaj zrodla dochodu' numeric
@attribute 'miesieczny dochod netto' numeric
@attribute 'ktore rolowanie' numeric
@attribute 'kwota kredytu' numeric
@attribute wiek numeric
@attribute plec {M,K}
@attribute 'okres w jakim pobieral dochod' numeric
@attribute 'okres w jakim bedzie pobieral dochod' numeric
@attribute 'opoznienie splaty' numeric

@data
13,2098,1,700,75,M,194,48,2
16,837,0,300,61,M,228,48,0
13,730,0,200,72,K,557,48,0
12,1100,0,300,43,K,29,17,3025
11,1700,1,500,51,K,302,48,4
13,1442.43,2,200,79,K,138,48,0
11,1360,2,200,46,M,116,48,0
12,1050,0,300,52,K,36,5,0
16,892,0,500,65,K,197,48,0
13,850,1,400,66,K,64,48,5
12,2500,0,800,57,M,3,1,4
13,1350,0,300,65,K,108,48,0
11,3200,1,700,52,M,186,48,0
11,2100,0,700,27,K,19,48,0
17,547.89,0,200,56,K,58,48,0
16,1411,1,400,60,K,63,48,17
12,1800,1,700,28,M,8,0,0
13,1210,0,300,65,K,135,48,6
12,1447,2,500,29,K,23,5,5
12,1037.34,0,300,30,M,23,6,0
13,785,1,200,72,K,61,48,0
99,980,2,449.7,23,M,10,1,384
11,1320,1,500,53,M,339,48,3
16,959.6,1,200,69,K,112,48,0
11,1700,1,600,47,K,86,48,0
13,3900,2,300,49,M,27,48,3
13,720.19,0,200,67,K,90,48,0
99,750,1,300,19,M,5,4,0
13,1425,1,500,56,K,16,48,465
11,1077.49,1,300,48,K,368,48,3
99,2800,2,200,38,K,7,0,3024
11,4000,2,600,53,M,7,48,0
13,2010,0,700,64,M,135,48,0
17,985,2,200,20,M,11,1,0
13,1668,2,392.14,63,K,88,48,9
11,1050,1,441.91,52,K,15,48,422
13,1672.59,0,200,62,M,19,48,0
13,12220,0,200,57,M,68,48,0
16,588,2,600,55,M,419,48,2
13,611,0,300,57,K,136,48,0
13,1065,1,230,62,K,18,48,274
13,1261.6,1,400,64,M,50,48,0
13,1454.91,1,400,58,K,39,48,6
12,1634,0,300,22,K,9,0,3
11,2700,2,500,31,M,12,48,3
11,1680,2,799.84,57,K,67,48,1
12,1400,0,300,25,M,32,23,0
13,1072,2,432.44,69,K,150,48,1
16,763.38,1,200,57,M,208,48,1
16,1045.6,2,500,54,K,9,48,0
11,1888.27,1,400,29,M,74,48,4
11,2927,0,500,38,K,198,48,0
11,1842.86,0,400,56,M,4,48,0
13,3100,0,600,64,M,135,48,11
13,1688.82,0,300,46,M,96,48,0
13,1240,2,300,58,K,67,48,0
12,900,2,400,28,M,20,5,8
11,1400,2,300,43,K,22,48,0
13,1026,2,200,74,K,244,48,0
11,1700,2,281.29,53,K,202,48,1
11,3000,2,300,60,M,209,48,1
11,763,1,300,46,K,90,48,0
99,645.31,0,400,43,K,11,4,1
13,729.03,2,300,70,K,254,48,0
13,1090.14,1,400,61,K,72,48,0
11,2458,0,600,61,M,144,48,0
13,714,2,200,62,K,219,48,0
16,1389,1,200,63,K,88,48,0
13,1291.18,2,381.29,70,K,76,48,0
12,1952.35,1,400,44,M,11,10,0
13,1370,1,900,59,K,73,48,0
13,665.92,2,300,65,K,122,48,300
13,1170,0,400,61,K,75,48,0
11,1187.06,1,400,56,K,130,48,2
17,990,2,400,50,K,85,48,0
11,2080,2,500,53,M,315,48,0
12,1700,2,400,54,K,53,48,0
11,1373.34,0,200,30,K,55,48,0
17,1200,2,200,25,K,179,48,0
11,2400,1,600,35,K,110,48,0
17,1485,1,500,58,M,186,48,0
12,1136.86,0,200,28,M,23,15,1
13,1362,2,500,61,K,53,48,6
11,3250,1,500,49,M,2,48,3019
16,1600,0,500,67,M,9,48,0
11,2470,2,426.61,49,K,351,48,0
12,1040,2,400,52,K,19,4,3019
13,1015,2,400,64,K,106,48,4
13,1017,2,200,68,K,158,48,0
17,547.89,1,350,56,K,58,48,13
11,1800,1,600,39,K,48,48,11
11,2050,0,800,33,K,26,48,5
13,910,2,200,66,K,66,48,1
11,2284.23,0,200,43,M,296,48,0
11,1577.42,2,400,50,K,202,48,11
12,855,2,600,31,K,60,48,3019
12,1540,1,600,33,K,39,3,5
11,2050,2,575.74,32,M,115,48,1
11,2368.57,0,400,54,K,407,48,0
11,4900,0,500,50,K,8,48,0
13,1457,1,300,73,M,76,48,3
13,1216,2,200,66,K,138,48,0
13,1280,2,400,61,K,14,48,0
11,1800,2,500,49,K,50,48,3
11,1110,0,600,25,M,7,48,3018
13,930,2,670.73,63,K,91,48,11
11,1500,1,500,33,M,99,48,3017
11,1033,1,400,33,M,33,48,303
13,1160,1,500,61,K,75,48,3
13,1244.77,2,300,58,K,36,48,4
13,930,2,200,72,K,236,48,0
13,1200,2,500,70,K,116,48,16
13,2015.55,0,600,69,M,108,48,5
13,1085,2,400,67,K,163,48,3
11,2700,2,500,30,M,61,48,2
11,980.11,2,400,34,K,42,48,10
13,866.46,2,200,73,K,192,48,0
13,1872,2,700,58,K,32,48,2
12,2673.17,2,600,51,M,162,48,5
13,1400,1,400,59,K,51,48,0
11,1700,1,500,36,K,194,48,5
11,2700,1,400,35,M,5,48,3017
16,1770,2,500,58,M,86,48,0
98,4000,2,500.8,35,K,15,48,2
17,728,2,200,27,M,130,48,2
13,2113.24,1,200,64,K,58,48,0
16,685,0,300,52,K,38,48,0
11,1906.42,0,400,60,K,209,48,0
13,1561.87,1,281.29,57,M,194,48,3015
12,984.34,1,200,53,K,20,5,0
13,907,0,200,70,K,231,48,0
11,1721.7,2,385.97,54,K,117,48,0
16,726,2,300,59,M,230,48,336
13,936,2,300,60,K,28,48,0
13,1900,2,500,56,M,147,48,0
13,1817.24,0,400,57,K,15,48,0
16,1100,2,850,69,M,134,48,190
11,1730.13,0,400,56,K,190,48,1
11,2709.34,2,337.64,35,K,178,48,0
13,1399.99,0,300,61,K,12,48,1
12,1963.88,1,400,44,M,5,2,0
13,1050,2,600,61,K,136,48,0
17,926,2,520.7,24,M,54,48,400
17,926,2,356.68,24,M,54,48,400
11,1443,2,600,43,K,30,48,1
16,650.77,0,200,64,M,45,48,3
13,784,1,300,60,K,36,48,3015
11,1000,2,300,30,M,54,48,3
13,1026,2,300,60,K,52,48,11
11,1500,1,200,57,M,392,48,1
13,1420,1,200,70,M,50,48,0
13,1217,0,400,65,M,48,48,0
16,1362,2,400,53,K,26,48,0
11,901,1,300,28,K,37,48,0
13,3181,0,400,69,M,48,48,0
13,1530,2,500,64,M,32,48,5
12,980,2,200,31,K,10,3,1
11,3217,0,300,44,M,267,48,0
13,3040,2,700,65,M,198,48,0
17,1100,0,200,56,K,33,9,0
11,932.34,2,200,51,K,392,48,0
11,1400,0,300,23,M,21,48,0
13,2000,2,450,68,M,42,48,1
11,1077,2,200,55,K,180,48,0
13,865,2,300,70,K,125,48,0
11,983.97,0,200,57,K,75,48,0
11,1344.9,1,300,45,K,43,48,4
13,1107,0,400,60,K,12,48,0
11,967.64,1,200,48,K,316,48,4
11,2100,1,500,60,M,184,48,1
13,722.05,1,200,71,K,194,48,0
98,911,2,300,46,K,95,48,0
12,1300,1,300,26,K,12,6,0
12,1500,1,300,22,K,2,1,0
11,1400,2,300,52,K,158,48,5
13,2547,0,600,80,M,192,48,0
16,1528,0,300,58,M,372,48,6
11,992.84,2,300,49,K,118,48,0
13,1400,2,600,59,K,243,48,0
13,1294,0,250,70,K,120,48,0
99,1100,1,200,53,K,49,48,0
13,2800,1,800,54,M,147,48,0
13,1150,0,300,75,M,135,48,28
13,2040,1,300,63,M,141,48,14
13,1125,0,400,65,K,122,48,0
13,960,2,300,73,M,137,48,7
13,1374.08,0,300,64,M,69,48,1
11,2837,0,662.69,30,M,123,48,21
13,1175,0,400,65,K,112,48,0
16,1072.89,2,300,55,K,119,48,0
12,1042,1,300,49,M,2,0,12
12,1382,1,200,37,K,23,5,0
11,1037.34,2,200,41,K,59,48,0
13,1239.98,0,200,78,K,252,48,0
98,2200,2,400,47,K,22,48,0
13,1500,2,396.61,61,M,20,48,1
16,634.64,1,300,57,K,133,48,0
13,1014,0,300,63,K,180,48,7
11,1493.98,1,200,47,K,358,48,0
12,1032,2,300,46,K,40,5,3
17,646,0,380.59,40,K,54,48,3011
11,2100,1,820.86,42,M,281,48,334
13,782,0,356.29,57,K,189,48,209
13,580,2,800,56,K,116,48,2
12,599.03,1,200,37,K,18,2,5
13,1000,1,300,70,K,61,48,0
13,3440,2,800,55,K,48,48,6
11,800.51,1,400,38,K,17,48,13
11,2200,2,499.98,35,M,82,48,18
11,2500,1,600,49,K,230,48,0
12,1300,2,600,29,M,41,17,6
17,798.8,2,300,54,M,150,48,6
16,1473.04,1,400,65,M,162,48,3
11,1250,2,500,61,M,62,48,14
13,750,0,300,62,K,28,48,0
13,2110,2,300,66,M,98,48,0
13,930,1,400,59,K,29,48,436
12,1000,2,231.22,52,M,39,29,437
13,1658,2,300,59,K,26,48,1
16,749.28,2,200,53,K,62,48,2
13,1016,0,250,70,K,186,48,0
11,3200,2,600,51,K,51,48,1
11,3100,2,500,32,K,118,48,0
11,2700,2,400,37,K,118,48,0
11,2947,2,393.99,59,M,50,48,3
11,2100,2,300,33,M,61,48,9
16,980,2,400,68,K,128,48,1
11,1400,1,412.72,33,K,98,48,9
11,1900,2,694,38,K,205,48,3
12,950,1,200,37,M,15,10,3008
12,1000,2,328,60,M,10,1,4
12,1000,2,328.32,50,K,29,0,4
13,1900,2,500,62,K,85,48,1
11,3335,2,600,56,M,430,48,2
11,1087,1,377.69,40,K,235,48,5
13,2066,2,700,61,K,126,48,1
13,975,2,253.12,61,K,24,48,3
11,2250.05,0,500,61,M,173,48,1
12,1100,2,300,65,M,35,16,1
13,1977,0,700,61,K,52,48,3
13,1134.96,2,200,68,K,159,48,16
13,1287.66,1,200,63,M,94,48,2
13,1538,2,200,63,M,98,48,3
13,1426,2,300,71,M,75,48,0
98,980,1,300,56,K,7,48,1
12,670,2,300,45,M,11,4,0
98,3178,2,500,43,M,199,48,2
13,1801.41,2,517.26,58,K,35,48,10
13,1026,2,200,74,K,245,48,1
13,1185.33,2,200,71,K,222,48,0
11,2200,0,900,33,K,35,48,0
13,957.2,1,200,74,M,195,48,264
13,815,1,336.83,67,K,142,48,0
13,840,0,400,64,K,111,48,0
98,1200,2,285.97,38,K,43,48,2
12,1032.34,2,200,31,K,11,8,0
12,1027,2,300,39,K,59,48,5
11,1770,2,277.34,39,K,84,48,1
13,3700,2,800,62,K,24,48,0
11,3500,2,400,42,M,25,48,139
11,1400,2,200,54,K,114,48,1
11,763,2,300,46,K,91,48,1
13,1083.23,0,200,58,K,95,48,1
13,1272,1,500,62,M,14,48,270
99,685,2,250,62,M,3,0,4
13,1519,0,200,78,M,251,48,0
13,803.86,2,200,68,K,155,48,1
13,1193.65,1,400,63,M,7,48,1
11,1566.82,0,200,46,M,347,48,0
13,1031,0,200,66,K,119,48,0
13,1149.06,1,400,60,K,159,48,47
13,1412,2,400,73,K,201,48,19
13,1591,2,381.29,66,M,74,48,12
16,755.1,1,200,64,K,132,48,12
11,2065.98,2,327,52,K,176,48,7
12,1400,1,300,28,M,23,16,5
12,1500,0,800,35,M,35,4,0
13,860,2,789.27,63,K,77,48,11
11,2800,2,400,54,K,57,48,3
13,1167.94,0,200,79,K,367,48,0
13,2802,2,700,72,M,245,48,307
16,1045,1,200,50,M,197,48,0
17,1485,2,500,58,M,186,48,3003
11,1300,2,300,39,M,43,48,0
13,1162,2,200,62,M,219,48,2
13,1094,1,300,67,K,182,48,4
13,1635,2,200,60,K,117,48,0
13,917,0,300,63,K,74,48,0
13,2120,2,600,68,K,116,48,3
13,985.9,0,200,62,K,88,48,292
16,1313.41,2,400,62,M,25,48,0
13,1233,1,400,63,K,121,48,0
13,1611,0,300,65,M,139,48,3
13,819,0,200,57,M,55,48,0
13,714,3,500,62,K,220,48,1
11,3000,2,500,45,K,91,48,0
13,919,2,470.41,66,K,139,48,430
98,5000,1,600,41,K,82,48,7
12,700,2,250,40,M,23,16,8
13,951,2,500,73,K,160,48,1
13,1013.74,2,400,65,K,111,48,1
11,1500,1,400,58,K,83,48,1
11,1200,2,300,38,K,188,48,3001
13,1525.46,2,521.49,62,K,34,48,0
13,5100,2,700,61,K,26,48,0
11,2327.94,0,200,24,M,32,48,0
12,1030,2,241.15,54,M,24,17,5
11,2000,0,600,46,M,49,48,0
16,2300,3,900,55,K,60,48,0
12,660,2,400,40,K,37,28,3
12,1009.34,1,300,55,K,67,48,2
12,1030,2,200,51,M,59,48,11
12,1600,0,400,56,M,60,48,0
13,1425,0,400,60,K,77,48,1
12,1350,2,281.29,55,K,24,4,1
12,1000,3,200,24,M,24,15,8
12,1675,2,600,54,K,11,4,2
12,1800,2,700,28,M,8,0,0
13,856,2,200,64,K,55,48,1
11,2700,1,300,39,M,7,48,0
13,1300,1,300,66,M,76,48,345
13,1684,2,400,61,K,17,48,1
11,1800,0,200,57,M,158,48,0
12,1600,2,498.47,31,K,12,0,1
13,616,2,200,75,K,244,48,1
13,984,1,200,61,K,8,48,0
11,1000,2,275.97,41,K,59,48,8
12,1574.45,1,445.67,47,M,35,6,1
11,1700,2,300,54,M,37,48,4
12,830.46,1,600,47,K,71,48,1
16,634,1,200,58,K,49,48,0
13,1160,0,200,75,K,209,48,0
13,1500,2,200,58,K,44,48,0
16,633.56,2,250,64,M,109,48,2998
13,910.33,2,200,73,M,161,48,8
12,2000,2,227.13,53,K,25,18,2
16,703,2,200,57,K,23,48,1
17,684,2,900,58,K,209,48,1
13,640,0,500,72,K,136,48,1
13,965,2,200,75,K,243,48,1
13,802.83,2,200,65,K,199,48,4
13,1137.19,2,400,66,K,94,48,0
11,1000,2,800,60,M,61,48,3
13,1601.87,1,350,64,M,43,48,10
13,1239,2,300,77,K,268,48,1
13,1100,1,200,59,K,41,48,0
11,1261.98,2,400,40,M,34,48,0
16,1138.01,0,300,73,K,4,48,2997
16,837,1,350,61,M,229,48,0
12,990.34,1,200,46,K,71,48,0
13,930,3,800,65,K,128,48,0
11,3170,2,400,47,K,283,48,0
12,600,3,400,47,M,27,19,1
11,1459,0,300,26,M,7,48,5
13,1130,2,300,62,K,101,48,3
16,906.07,0,200,52,K,10,48,263
12,1400,1,300,25,M,32,22,1
11,2100,1,300,45,M,48,48,1
13,1428.55,2,235.97,66,K,135,48,0
16,655,2,500,53,K,29,48,152
11,1800,2,300,33,M,163,48,1
13,1474.55,1,400,62,K,63,48,0
11,1617.68,1,200,52,K,83,48,5
13,1768.93,2,500,63,M,267,48,2997
11,1400,2,200,49,M,12,48,1
11,5800,2,900,47,K,52,48,0
13,1189,2,265.58,62,K,67,48,0
11,1172.2,2,400,56,K,35,48,2
16,1340,2,500,63,K,159,48,6
13,1672.59,1,200,62,M,20,48,0
17,1031,1,350,53,K,60,48,6
13,1000,2,500,60,K,65,48,2
13,1817.24,1,400,57,K,16,48,0
11,1510,2,900,58,M,163,48,151
13,997,2,300,61,K,77,48,0
13,1212,2,500,60,K,51,48,0
11,1680,2,300,57,K,383,48,2
13,720.19,0,200,67,K,91,48,0
11,1700,2,600,47,K,87,48,2
13,1442.43,3,200,79,K,139,48,0
11,1400,2,600,58,K,161,48,188
11,2800,2,600,49,K,316,48,3
13,3541.9,0,369.53,72,K,125,48,2
11,2100,1,500,27,K,20,48,0
11,1290,2,600,32,K,17,48,2
12,1884.29,0,300,39,M,23,5,0
13,730,1,200,72,K,558,48,0
11,2284.23,0,400,43,M,297,48,0
16,959.6,2,200,69,K,113,48,0
99,1393.85,1,200,29,M,3,0,1
13,2010,1,717.26,64,M,135,48,1
13,12220,1,200,57,M,69,48,1
16,892,1,500,65,K,198,48,0
11,1360,3,200,46,M,117,48,0
12,1050,1,295.97,52,K,36,4,0
12,1200,2,300,35,K,14,7,0
13,1210,1,300,65,K,136,48,26
11,3200,2,700,52,M,187,48,0
16,1045.6,3,450,54,K,10,48,0
13,1350,1,300,65,K,109,48,3
11,1800,2,600,48,M,124,48,2994
11,2249.14,2,500,57,K,239,48,18
13,785,2,200,72,K,62,48,0
13,1688.82,1,300,46,M,97,48,2
11,1400,0,300,23,M,22,48,0
11,4000,3,400,53,M,8,48,1
12,1037.34,1,300,30,M,23,5,0
99,750,2,300,19,M,5,3,0
13,611,1,300,57,K,137,48,1
13,2098,2,700,75,M,195,48,0
13,1700,2,500,72,M,12,48,2
13,940,2,300,69,M,51,48,2994
11,1700,2,500,51,K,303,48,4
11,1842.86,1,400,56,M,5,48,0
13,3900,3,300,49,M,28,48,0
11,2470,3,426.61,49,K,352,48,0
11,1320,2,500,53,M,340,48,0
11,1239.05,0,400,39,K,202,48,7
13,1261.6,2,400,64,M,51,48,368
12,3000,0,700,37,M,10,4,34
13,1240,3,300,58,K,68,48,0
13,936,0,500,60,K,29,48,0
13,1026,3,200,74,K,245,48,0
12,1952.35,2,400,44,M,11,9,0
11,1400,3,300,43,K,23,48,4
13,1170,1,400,61,K,76,48,0
11,1077.49,2,300,48,K,369,48,0
11,2927,1,496.61,38,K,199,48,0
12,2500,1,800,57,M,3,0,1
17,985,3,200,20,M,11,0,0
13,1090.14,2,400,61,K,73,48,0
11,1680,3,649.84,57,K,68,48,0
11,1700,3,238.78,53,K,203,48,0
13,1072,3,500,69,K,151,48,5
13,729.03,3,300,70,K,255,48,0
16,1389,2,200,63,K,89,48,0
13,1291.18,3,381.29,70,K,77,48,0
16,763.38,2,200,57,M,209,48,0
13,1370,2,900,59,K,74,48,11
11,2080,3,500,53,M,316,48,15
11,3000,3,300,60,M,210,48,0
11,1373.34,0,200,30,K,56,48,0
17,1200,3,200,25,K,179,48,1
16,685,1,300,52,K,39,48,0
13,850,2,400,66,K,65,48,1
12,1700,3,400,54,K,53,48,0
17,990,3,500,50,K,85,48,13
11,2400,2,600,35,K,111,48,6
12,1030,0,296.54,34,M,23,20,2989
16,1600,1,500,67,M,10,48,0
12,1447,3,500,29,K,23,4,4
13,810,3,300,60,K,31,48,4
11,2368.57,1,400,54,K,408,48,6
11,1500,0,378,27,K,22,48,9
12,1375.47,0,300,45,M,8,3,0
11,4900,1,500,50,K,9,48,0
13,1017,3,200,68,K,159,48,0
16,588,3,600,55,M,420,48,0
12,1136.86,1,200,28,M,23,14,2989
13,910,3,200,66,K,67,48,0
12,1634,1,300,22,K,10,0,3
11,2500,2,900,47,M,202,48,11
13,1216,3,200,66,K,139,48,0
13,1280,3,400,61,K,15,48,0
11,1300,0,600,54,K,66,48,8
11,2700,3,450,31,M,13,48,18
13,1400,2,500,59,K,52,48,1
11,2050,3,575.74,32,M,116,48,7
16,1770,3,500,58,M,87,48,0
12,1865,0,300,31,K,21,3,3
11,1888.27,2,382.44,29,M,75,48,16
12,1000,0,300,50,M,62,48,0
11,1721.7,3,385.97,54,K,118,48,1
13,1872,3,700,58,K,33,48,3
11,2709.34,3,330.68,35,K,179,48,0
13,1015,3,400,64,K,107,48,2
12,984.34,2,200,53,K,20,4,0
13,1239.98,0,300,78,K,253,48,0
13,1200.29,0,400,62,K,20,48,0
13,2113.24,2,200,64,K,59,48,0
11,2700,3,600,30,M,62,48,0
13,1454.91,2,400,58,K,40,48,0
13,907,1,200,70,K,232,48,1
13,1457,2,300,73,M,77,48,293
11,1300,0,400,53,K,32,48,12
12,1963.88,2,400,44,M,5,1,0
11,1800,3,500,49,K,51,48,2
11,1906.42,1,281.29,60,K,210,48,0
13,1900,3,500,56,M,148,48,0
13,1050,3,600,61,K,137,48,0
98,4000,3,498.26,35,K,16,48,2
13,1820,3,900,61,K,67,48,1
99,645.31,0,300,43,K,11,2,418
13,1399.99,1,300,61,K,13,48,1
13,1085,3,400,67,K,164,48,0
11,1730.13,1,400,56,K,191,48,0
13,1650,0,300,59,K,113,48,0
11,1500,2,200,57,M,393,48,294
11,1660,0,300,63,M,48,48,6
13,722.05,2,200,71,K,195,48,0
11,2050,1,799.85,33,K,27,48,11
12,988,0,200,54,M,12,4,271
12,1100,0,200,26,M,59,48,0
11,1443,3,600,43,K,31,48,1
17,728,3,200,27,M,130,48,0
11,2100,0,300,54,M,36,48,3
13,1503,2,400,61,M,163,48,13
13,1362,3,500,61,K,54,48,7
13,1244.77,3,300,58,K,37,48,1
11,932.34,3,200,51,K,393,48,0
11,901,2,300,28,K,38,48,0
17,1100,1,200,56,K,33,8,0
13,3040,3,667.26,65,M,199,48,11
11,2700,3,500,37,K,119,48,0
11,3100,3,500,32,K,119,48,0
11,3217,1,299.97,44,M,268,48,2983
13,1125,1,300,65,K,123,48,0
13,2110,3,300,66,M,99,48,0
13,865,3,300,70,K,126,48,3
12,1300,2,300,26,K,12,5,0
16,1362,3,400,53,K,27,48,0
12,1500,2,300,22,K,2,0,0
13,1668,3,392.14,63,K,89,48,2
11,983.97,1,200,57,K,76,48,4
12,980,3,200,31,K,10,2,3
11,1700,2,500,36,K,195,48,3
13,2015.55,1,600,69,M,109,48,429
13,1217,0,200,65,M,49,48,0
13,819,1,200,57,M,55,48,0
16,650.77,0,200,64,M,46,48,2982
12,2673.17,3,600,51,M,162,48,13
13,1107,1,231.29,60,K,13,48,2
13,1400,3,600,59,K,244,48,0
16,634.64,2,300,57,K,134,48,2
98,911,3,300,46,K,96,48,2
11,992.84,3,300,49,K,119,48,3
11,1000,3,300,30,M,55,48,2
13,2000,3,450,68,M,43,48,5
13,1180,0,300,74,M,138,48,0
13,1175,1,400,65,K,113,48,276
11,2100,2,500,60,M,185,48,1
12,1382,2,200,37,K,23,4,0
16,1072.89,3,300,55,K,120,48,0
11,1037.34,3,200,41,K,60,48,23
98,2200,3,300,47,K,23,48,0
11,1493.98,2,200,47,K,359,48,0
13,1062,0,400,66,K,160,48,2980
99,1100,0,200,53,K,50,48,0
