@relation '212785L1-weka.filters.unsupervised.attribute.RenameNominalValues-R1-Nsplacona_cz:dobry, splacona:dobry-weka.filters.unsupervised.attribute.RenameNominalValues-R1-Nwindykacja:zly-weka.filters.unsupervised.attribute.RenameNominalValues-R1-Nodmowa:zly-weka.filters.unsupervised.attribute.RenameNominalValues-R1-Nwindykacja_sp:zly-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C1-L2,4,5-M-H-weka.filters.unsupervised.attribute.Remove-Rlast-weka.filters.unsupervised.attribute.Reorder-R2-last,1-weka.filters.unsupervised.attribute.Discretize-B5-M-1.0-R2'

@attribute 'kwota kredytu' numeric
@attribute wiek {'\'(-inf-31.4]\'','\'(31.4-43.8]\'','\'(43.8-56.2]\'','\'(56.2-68.6]\'','\'(68.6-inf)\''}
@attribute plec {M,K}
@attribute 'rodzaj zrodla dochodu' numeric
@attribute 'miesieczny dochod netto' numeric
@attribute 'ktore rolowanie' numeric
@attribute 'okres w jakim pobieral dochod' numeric
@attribute 'okres w jakim bedzie pobieral dochod' numeric
@attribute 'status pozyczki' {dobry,zly}

@data
400,'\'(56.2-68.6]\'',M,13,3900,0,37,48,dobry
200,'\'(56.2-68.6]\'',K,13,1000,0,60,48,dobry
200,'\'(68.6-inf)\'',M,13,1700,0,17,48,zly
450,'\'(43.8-56.2]\'',M,11,2300,0,123,48,dobry
299.15,'\'(43.8-56.2]\'',K,11,1400,4,164,48,dobry
200,'\'(43.8-56.2]\'',M,11,2094.17,4,244,48,dobry
300,'\'(68.6-inf)\'',K,13,1167.94,3,372,48,dobry
1136.54,'\'(31.4-43.8]\'',M,12,1500,4,36,0,zly
500,'\'(43.8-56.2]\'',K,11,1800,8,56,48,dobry
770.69,'\'(56.2-68.6]\'',K,13,860,2,83,48,dobry
200,'\'(56.2-68.6]\'',M,13,1611,0,144,48,dobry
0,'\'(68.6-inf)\'',K,13,892,0,216,48,zly
500,'\'(31.4-43.8]\'',M,12,2000,0,71,48,dobry
200,'\'(43.8-56.2]\'',K,11,1400,8,120,48,dobry
200,'\'(56.2-68.6]\'',K,98,980,7,13,48,dobry
500,'\'(31.4-43.8]\'',M,11,3898,3,184,48,dobry
300,'\'(43.8-56.2]\'',K,12,1756,0,2,0,dobry
400,'\'(56.2-68.6]\'',K,13,1650,0,85,48,dobry
500,'\'(31.4-43.8]\'',M,11,2800,0,158,48,dobry
300,'\'(68.6-inf)\'',K,13,1389,0,71,48,dobry
423.23,'\'(31.4-43.8]\'',M,11,2700,7,18,48,dobry
0,'\'(-inf-31.4]\'',K,12,1156,0,12,8,zly
200,'\'(56.2-68.6]\'',K,13,974,0,204,48,dobry
400,'\'(43.8-56.2]\'',M,11,2600,0,5,48,dobry
300,'\'(-inf-31.4]\'',K,12,1500,7,18,10,dobry
0,'\'(31.4-43.8]\'',M,12,1400,0,29,23,zly
500,'\'(43.8-56.2]\'',M,11,2080,2,321,48,dobry
200,'\'(43.8-56.2]\'',K,16,749.28,8,68,48,dobry
249.3,'\'(56.2-68.6]\'',K,16,2100,3,42,48,dobry
500,'\'(43.8-56.2]\'',M,13,4200,0,60,48,dobry
1000,'\'(68.6-inf)\'',K,13,2291,4,74,48,dobry
500,'\'(-inf-31.4]\'',K,12,1447,8,35,10,dobry
300,'\'(43.8-56.2]\'',M,11,1566.82,0,352,48,dobry
396.89,'\'(56.2-68.6]\'',K,13,3700,8,30,48,dobry
200,'\'(68.6-inf)\'',K,13,965,7,248,48,dobry
200,'\'(68.6-inf)\'',K,13,1536,3,39,48,dobry
300,'\'(68.6-inf)\'',M,13,1426,8,80,48,dobry
300,'\'(-inf-31.4]\'',M,11,2700,0,67,48,dobry
700,'\'(31.4-43.8]\'',K,11,3178.76,3,124,48,dobry
700,'\'(31.4-43.8]\'',K,11,3100,3,124,48,dobry
200,'\'(43.8-56.2]\'',M,12,1100,0,14,5,dobry
738.6,'\'(43.8-56.2]\'',K,12,1600,1,17,3,dobry
300,'\'(56.2-68.6]\'',K,13,802.83,2,204,48,dobry
0,'\'(-inf-31.4]\'',K,17,540,0,96,48,zly
500,'\'(-inf-31.4]\'',M,12,1880,0,12,6,zly
300,'\'(43.8-56.2]\'',K,98,911,8,101,48,dobry
390.88,'\'(56.2-68.6]\'',K,13,1400,1,49,48,dobry
300,'\'(43.8-56.2]\'',K,12,1038.68,4,26,2,zly
200,'\'(56.2-68.6]\'',K,99,780,4,5,0,dobry
300,'\'(56.2-68.6]\'',K,13,1100,5,108,48,dobry
350,'\'(68.6-inf)\'',K,11,1348.95,0,117,48,dobry
500,'\'(43.8-56.2]\'',K,17,990,4,85,48,dobry
349.66,'\'(56.2-68.6]\'',M,13,1601.87,4,48,48,dobry
2000,'\'(56.2-68.6]\'',M,98,20000,1,133,48,dobry
400,'\'(56.2-68.6]\'',M,16,1473.04,5,168,48,dobry
257.27,'\'(43.8-56.2]\'',M,11,2100,5,41,48,dobry
600,'\'(56.2-68.6]\'',K,13,1233,1,127,48,dobry
215.24,'\'(43.8-56.2]\'',M,16,1045,7,203,48,dobry
200,'\'(56.2-68.6]\'',K,16,634,7,54,48,dobry
300,'\'(56.2-68.6]\'',K,13,1582.15,0,109,48,dobry
